Player1_name,Player2_name,surface,first_serve_pct,aces,double_faults,first_serve_in,first_serve_points_won,second_serve_points_won,break_points_saved,break_points_faced
Jurgen Melzer,Martin Vassallo Arguello,Clay,0.11608961303462322,0.02654867256637168,0.15384615384615385,0.09141274238227147,0.08904109589041095,0.17073170731707318,0.125,0.08823529411764706
Olivier Rochus,Taylor Dent,Carpet,0.14867617107942974,0.08849557522123894,0.19230769230769232,0.08587257617728532,0.08561643835616438,0.34146341463414637,0.041666666666666664,0.08823529411764706
Gilles Simon,Santiago Giraldo,Hard,0.15885947046843177,0.04424778761061947,0.038461538461538464,0.13019390581717452,0.11643835616438356,0.21951219512195122,0.25,0.23529411764705882
Stephane Simian,Marc Kevin Goellner,Grass,0.1670061099796334,0.1415929203539823,0.3076923076923077,0.10526315789473684,0.1232876712328767,0.3170731707317073,0.0,0.0
Roger Federer,Kristian Pless,Hard,0.1629327902240326,0.09734513274336283,0.0,0.14958448753462603,0.14383561643835616,0.23170731707317074,0.0,0.029411764705882353
Roger Federer,Grigor Dimitrov,Hard,0.09775967413441955,0.008849557522123894,0.038461538461538464,0.09141274238227147,0.09246575342465753,0.10975609756097561,0.16666666666666666,0.11764705882352941
Jared Donaldson,Victor Estrella,Clay,0.109979633401222,0.035398230088495575,0.15384615384615385,0.08033240997229917,0.07876712328767123,0.17073170731707318,0.041666666666666664,0.058823529411764705
John Isner,Noah Rubin,Clay,0.1955193482688391,0.24778761061946902,0.0,0.19390581717451524,0.21575342465753425,0.24390243902439024,0.08333333333333333,0.058823529411764705
Tommy Robredo,Andy Roddick,Grass,0.1589424173423248,0.05758018199186158,0.10546553274608353,0.13156430345725714,0.12262986936436115,0.20441011069028367,0.14710651511426037,0.1521549474116043
Marcelo Arevalo,Ricardo Rodriguez,Hard,0.15274949083503056,0.02654867256637168,0.07692307692307693,0.11634349030470914,0.09931506849315068,0.2804878048780488,0.16666666666666666,0.14705882352941177
Andreas Seppi,Marton Fucsovics,Hard,0.3319755600814664,0.07964601769911504,0.19230769230769232,0.2548476454293629,0.23972602739726026,0.4024390243902439,0.16666666666666666,0.2647058823529412
David Ferrer,Filippo Volandri,Clay,0.08961303462321792,0.0,0.0,0.0886426592797784,0.0684931506849315,0.07317073170731707,0.16666666666666666,0.17647058823529413
Stan Wawrinka,Marcos Baghdatis,Hard,0.2668024439918534,0.09734513274336283,0.19230769230769232,0.1883656509695291,0.18835616438356165,0.45121951219512196,0.2916666666666667,0.2647058823529412
Florent Serra,Marc Gicquel,Hard,0.1934826883910387,0.04424778761061947,0.15384615384615385,0.1883656509695291,0.1815068493150685,0.1951219512195122,0.20833333333333334,0.17647058823529413
David Agung Susanto,Mohsen Hossein Zade,Hard,0.1589424173423248,0.05758018199186158,0.10546553274608353,0.13156430345725714,0.12262986936436115,0.20441011069028367,0.14710651511426037,0.1521549474116043
Lukas Rosol,Denis Istomin,Hard,0.12423625254582485,0.04424778761061947,0.15384615384615385,0.10249307479224377,0.10616438356164383,0.17073170731707318,0.041666666666666664,0.058823529411764705
Pedro Martinez,Lucas Pouille,Clay,0.20773930753564154,0.035398230088495575,0.11538461538461539,0.19390581717451524,0.1643835616438356,0.25609756097560976,0.2916666666666667,0.23529411764705882
Paul Henri Mathieu,Kristian Pless,Clay,0.09164969450101833,0.035398230088495575,0.0,0.07756232686980609,0.0821917808219178,0.13414634146341464,0.125,0.08823529411764706
Simon Greul,Ivan Navarro,Clay,0.1670061099796334,0.02654867256637168,0.038461538461538464,0.14127423822714683,0.1267123287671233,0.21951219512195122,0.0,0.029411764705882353
Alberto Martin,Marcos Daniel,Clay,0.2525458248472505,0.008849557522123894,0.2692307692307692,0.2188365650969529,0.18493150684931506,0.24390243902439024,0.3333333333333333,0.35294117647058826
Mariano Zabaleta,Sebastien Lareau,Hard,0.1120162932790224,0.04424778761061947,0.0,0.0886426592797784,0.08561643835616438,0.15853658536585366,0.08333333333333333,0.058823529411764705
Andreas Seppi,Nick Kyrgios,Hard,0.11812627291242363,0.07079646017699115,0.11538461538461539,0.10249307479224377,0.10616438356164383,0.13414634146341464,0.0,0.029411764705882353
Marin Cilic,Karen Khachanov,Hard,0.1894093686354379,0.13274336283185842,0.15384615384615385,0.16066481994459833,0.1541095890410959,0.23170731707317074,0.125,0.14705882352941177
Richard Fromberg,Cedric Pioline,Carpet,0.18737270875763748,0.10619469026548672,0.0,0.16897506925207756,0.1541095890410959,0.24390243902439024,0.125,0.11764705882352941
Henri Leconte,Thomas Muster,Hard,0.18533604887983707,0.061946902654867256,0.11538461538461539,0.1634349030470914,0.15753424657534246,0.17073170731707318,0.20833333333333334,0.20588235294117646
Patrick Baur,Francisco Clavet,Clay,0.07942973523421588,0.0,0.0,0.07479224376731301,0.0684931506849315,0.10975609756097561,0.125,0.08823529411764706
Gabriel Markus,Thomas Muster,Clay,0.1975560081466395,0.061946902654867256,0.038461538461538464,0.13019390581717452,0.10616438356164383,0.3902439024390244,0.20833333333333334,0.23529411764705882
Milos Raonic,Jack Sock,Hard,0.2240325865580448,0.13274336283185842,0.07692307692307693,0.20221606648199447,0.19863013698630136,0.2926829268292683,0.20833333333333334,0.17647058823529413
Rainer Schuettler,Igor Andreev,Hard,0.1589424173423248,0.05758018199186158,0.10546553274608353,0.13156430345725714,0.12262986936436115,0.20441011069028367,0.14710651511426037,0.1521549474116043
Gael Monfils,Michael Llodra,Hard,0.14663951120162932,0.10619469026548672,0.07692307692307693,0.10249307479224377,0.10616438356164383,0.2682926829268293,0.20833333333333334,0.20588235294117646
Gaston Etlis,Marcelo Filippini,Clay,0.14867617107942974,0.008849557522123894,0.038461538461538464,0.14127423822714683,0.1267123287671233,0.12195121951219512,0.08333333333333333,0.14705882352941177
Joern Renzenbrink,David Prinosil,Carpet,0.19959266802443992,0.12389380530973451,0.34615384615384615,0.12742382271468145,0.1267123287671233,0.3048780487804878,0.20833333333333334,0.23529411764705882
Marin Cilic,Andy Roddick,Hard,0.1670061099796334,0.061946902654867256,0.11538461538461539,0.11357340720221606,0.10273972602739725,0.3170731707317073,0.08333333333333333,0.14705882352941177
Sebastien Lareau,Francisco Clavet,Hard,0.1120162932790224,0.0,0.07692307692307693,0.10803324099722991,0.0821917808219178,0.08536585365853659,0.08333333333333333,0.11764705882352941
Simone Bolelli,Lucas Pouille,Hard,0.09775967413441955,0.02654867256637168,0.07692307692307693,0.08310249307479224,0.07876712328767123,0.17073170731707318,0.041666666666666664,0.029411764705882353
Ramesh Krishnan,Eui Jong Chang,Grass,0.1589424173423248,0.05758018199186158,0.10546553274608353,0.13156430345725714,0.12262986936436115,0.20441011069028367,0.14710651511426037,0.1521549474116043
Doug Flach,Olivier Delaitre,Hard,0.2545824847250509,0.13274336283185842,0.38461538461538464,0.1745152354570637,0.1541095890410959,0.35365853658536583,0.4166666666666667,0.4117647058823529
Jan Siemerink,Sebastien Grosjean,Hard,0.14052953156822812,0.035398230088495575,0.038461538461538464,0.12188365650969529,0.13013698630136986,0.2073170731707317,0.041666666666666664,0.029411764705882353
Andrey Rublev,Marin Cilic,Hard,0.12423625254582485,0.04424778761061947,0.15384615384615385,0.0886426592797784,0.07876712328767123,0.18292682926829268,0.0,0.058823529411764705
Gianluca Pozzi,Marcos Ondruska,Hard,0.11405295315682282,0.008849557522123894,0.038461538461538464,0.0997229916897507,0.0821917808219178,0.10975609756097561,0.16666666666666666,0.17647058823529413
Daniel Nestor,Marat Safin,Grass,0.1690427698574338,0.10619469026548672,0.07692307692307693,0.1634349030470914,0.1267123287671233,0.15853658536585366,0.125,0.20588235294117646
Albert Costa,Juan Carlos Ferrero,Clay,0.1975560081466395,0.061946902654867256,0.15384615384615385,0.14958448753462603,0.1404109589041096,0.2682926829268293,0.08333333333333333,0.11764705882352941
Hendrik Dreekmann,Frederik Fetterlein,Hard,0.1589424173423248,0.05758018199186158,0.10546553274608353,0.13156430345725714,0.12262986936436115,0.20441011069028367,0.14710651511426037,0.1521549474116043
Diego Schwartzman,Tennys Sandgren,Hard,0.1629327902240326,0.017699115044247787,0.11538461538461539,0.14127423822714683,0.13356164383561644,0.2073170731707317,0.16666666666666666,0.11764705882352941
Gilles Muller,Julien Benneteau,Grass,0.1079429735234216,0.10619469026548672,0.15384615384615385,0.0886426592797784,0.08561643835616438,0.17073170731707318,0.041666666666666664,0.029411764705882353
Andreas Vinciguerra,Roger Federer,Hard,0.14663951120162932,0.07964601769911504,0.0,0.12465373961218837,0.1267123287671233,0.21951219512195122,0.08333333333333333,0.08823529411764706
Simone Bolelli,Ernests Gulbis,Hard,0.14867617107942974,0.08849557522123894,0.0,0.1440443213296399,0.136986301369863,0.15853658536585366,0.041666666666666664,0.08823529411764706
Andrei Pavel,Radek Stepanek,Clay,0.18329938900203666,0.017699115044247787,0.15384615384615385,0.1634349030470914,0.136986301369863,0.2073170731707317,0.20833333333333334,0.23529411764705882
Tim Henman,Jurgen Melzer,Hard,0.21792260692464357,0.07079646017699115,0.19230769230769232,0.16897506925207756,0.1404109589041096,0.3048780487804878,0.08333333333333333,0.20588235294117646
Mario Ancic,Raemon Sluiter,Grass,0.1975560081466395,0.1504424778761062,0.07692307692307693,0.1772853185595568,0.1780821917808219,0.23170731707317074,0.08333333333333333,0.058823529411764705
Rafael Nadal,Lleyton Hewitt,Clay,0.16089613034623218,0.008849557522123894,0.038461538461538464,0.16620498614958448,0.14383561643835616,0.12195121951219512,0.125,0.17647058823529413
Hendrik Dreekmann,Julian Alonso,Clay,0.1425661914460285,0.02654867256637168,0.23076923076923078,0.13573407202216067,0.1267123287671233,0.14634146341463414,0.125,0.17647058823529413
Florian Mayer,Nick Lindahl,Hard,0.0814663951120163,0.061946902654867256,0.0,0.07479224376731301,0.0684931506849315,0.12195121951219512,0.041666666666666664,0.058823529411764705
David Ferrer,Feliciano Lopez,Clay,0.15071283095723015,0.008849557522123894,0.07692307692307693,0.13850415512465375,0.13013698630136986,0.18292682926829268,0.0,0.029411764705882353
Dimitri Poliakov,Martin Strelba,Clay,0.13441955193482688,0.017699115044247787,0.11538461538461539,0.0997229916897507,0.07876712328767123,0.18292682926829268,0.041666666666666664,0.08823529411764706
Francisco Clavet,Magnus Gustafsson,Grass,0.18533604887983707,0.09734513274336283,0.15384615384615385,0.1634349030470914,0.1404109589041096,0.1951219512195122,0.041666666666666664,0.11764705882352941
Lukas Lacko,Nathan Pasha,Hard,0.10590631364562118,0.05309734513274336,0.07692307692307693,0.06925207756232687,0.07191780821917808,0.2073170731707317,0.0,0.029411764705882353
Lleyton Hewitt,Greg Rusedski,Hard,0.15682281059063136,0.08849557522123894,0.11538461538461539,0.12188365650969529,0.1267123287671233,0.24390243902439024,0.20833333333333334,0.20588235294117646
Robin Vik,Guillermo Coria,Clay,0.12016293279022404,0.017699115044247787,0.23076923076923078,0.08033240997229917,0.05821917808219178,0.14634146341463414,0.08333333333333333,0.17647058823529413
Juan Carlos Ferrero,Alexander Waske,Grass,0.2525458248472505,0.09734513274336283,0.038461538461538464,0.24653739612188366,0.22602739726027396,0.3048780487804878,0.2916666666666667,0.20588235294117646
Andre Sa,Gianluca Pozzi,Hard,0.13238289205702647,0.04424778761061947,0.07692307692307693,0.07756232686980609,0.07191780821917808,0.25609756097560976,0.08333333333333333,0.11764705882352941
Bruno Soares,Ariel Behar,Clay,0.1589424173423248,0.05758018199186158,0.10546553274608353,0.13156430345725714,0.12262986936436115,0.20441011069028367,0.14710651511426037,0.1521549474116043
